ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
53,"Xã Vĩnh Thủy",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.64,4.34,1.67,2.37
53,"Xã Vĩnh Thủy",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,7.26,12.93,1.54,8.22
53,"Xã Vĩnh Thủy",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.32,5.22,1.08,2.84
54,"Xã Diên Sanh",D+1-3,"Mùa mưa (T9-T12)",255,111,2.3,8.18,9.14,-1.76,-1.26
54,"Xã Diên Sanh",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.77,6.59,1.99,5.31
54,"Xã Diên Sanh",D+4-7,"Mùa mưa (T9-T12)",340,148,1.7,8.19,12.51,1.77,5.88
54,"Xã Diên Sanh",D+4-7,"Mùa khô (T1-T8)",1344,580,0.5,3.48,5.1,1.23,3.11
55,"Xã Vĩnh Hoàng",D+1-3,"Mùa mưa (T9-T12)",255,111,1.5,6.45,8.92,0.33,4.85
55,"Xã Vĩnh Hoàng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.73,5.19,1.11,2.75
55,"Xã Vĩnh Hoàng",D+4-7,"Mùa mưa (T9-T12)",340,148,1.6,9.78,17.03,4.21,13.84
55,"Xã Vĩnh Hoàng",D+4-7,"Mùa khô (T1-T8)",1344,580,0.7,3.47,5.9,0.59,3.07
56,"Xã Nam Cửa Việt",D+1-3,"Mùa mưa (T9-T12)",255,111,1.9,7.16,7.91,-0.55,1.3
